youtube_id,status
TQ3wXC5jqKE,1
UGtS3CL-zpo,1
FCJx1uV38ZQ,1
AR4d7r6--I4,0
WwaXYra91QE,1
gfQf11WBbw0,1
CWIbQqbivVc,1
LLTFbcJosPY,1
wqvnT7u0mSg,0
0O1-u4vyKQc,1
nL41zq5Ttic,0
2Vw1_oUzaNs,1
spbfax8dOTk,1
07FdVcspOfQ,1
Lkxbuqvb5A4,0
4aI9-g_n_OE,1
-mGJJ3CyCL4,0
NJ8rJ-i-OKE,1
S4AmLcBLZWY,1
hc51ExPQJcQ,1
CYer5nO5JpA,1
BRV1CDa5_Z4,1
8kBKeCR4xiU,1
gL3mN-UpSyQ,1
1KdjUNIcP8k,0
jSvTqwVpuhg,1
ccX1d19hmc8,1
6_nHubnKxqg,1
srDyToPqozI,1
FfdJdZ5_guM,1
wWBQ5ra0jP0,1
_bsnYbe6Dp8,0
b9EAfTyu5_I,1
_ZrJXN_vrBs,0
pEa07GOtQs4,1
nhdJvVvfWwo,1
l3QhHqsgq9s,1
y_U0Jc1p9D0,1
VepWTt1DzTA,1
Hp7zxA4BsKg,1
HyXyQiiGFGA,1
LDsysmP_8yo,1
oWuYilt9hX8,1
d4ftmOI5NnI,1
2fEZc4acGC0,1
p92CKGAeQUY,1
EG5DHsKNhKs,1
hfW-fzTbpRg,1
C1NgX-w54RY,1
m7_LwdyNsIQ,1
yotE4ykAnPE,1
0bUGMqQU3TI,1
Uo8_Ev4lnpw,1
ymjvQZ6nSd8,1
1f7NhVmJZc4,1
d_t77ai5GEk,1
3dMF8cHKHZA,1
Du87BUiTDso,1
KcEd6ufItl0,1
HjI1Of2lfhs,1
e8I1w7uGvzw,1
cTmUaCpQRaw,0
XHHg1C8LGnk,0
YBqruLJZAcg,1
BMVmbqSR668,1
FcFtBqXUud0,1
dPk7S_LiI1I,1
jIyn1q4Ilpw,1
1BZoajBwbac,0
Pu3BkumJXpk,0
wSEnh8Hi62E,1
-ncFDuKdgNE,1
8xM4TA8800o,1
tcR7LgBVTNE,1
K4BhEyjFyeM,1
igMB5dko__0,1
HJR7A98vbgU,1
Ky7rHZmk9Yw,1
OC82kTAQZew,1
JBOq0nY1rQE,0
G1APKgyX5nY,1
j6gLJ4_sfG8,1
xn8jQ9Bqzbc,0
7mgMuJvM9-I,1
a_OuIUbxu6U,0
zjwBNUXCA-M,1
117FZnev4Os,0
U0get4DzXqA,0
OycK5sRs42w,1
pDdLXHtAY9Q,1
iFpB2_WOk0Q,1
tRjAmXgY4b4,1
sp8Ufx3Ej24,1
3z0t0O6ZIPs,0
UDTXyP1Zf88,1
OEXhftas_3w,1
SdNqYGbc0tU,0
gRGbGI2-kPs,0
qjKhJnrMamA,0
Lz3XcjwKGmQ,1
Fe2CpAhZ9w4,0
9WpVeYgwugo,0
OlqErSr6Rjw,1
kX690RK6F4Q,1
YOTAk0JeNa4,1
Y15DS1LKh4g,1
aSU71Yy5QbI,1
r0Iq2_euH44,1
YDmULxspTJM,1
IXAspN3nQSE,1
WRx0b993Lj4,0
aM4Gyz0kd3Q,0
v79foBIrar4,1
ew40D96la6M,1
pl2HDVRj_4o,0
ChcCflTm4-k,0
